,country,name,full_name,isin,currency,symbol
261,brazil,LOPES BRASIL ON,LPS Brasil Consultoria de Imoveis,BRLPSBACNOR0,BRL,LPSB3
262,brazil,LOJAS RENNER ON,Lojas Renner SA,BRLRENACNOR1,BRL,LREN3
263,brazil,LUPATECH ON,Lupatech SA,BRLUPAACNOR8,BRL,LUPA3
264,brazil,M.DIASBRANCO ON,M Dias Branco SA,BRMDIAACNOR7,BRL,MDIA3
265,brazil,MANGELS INDL PN,Mangels Industrial SA,BRMGELACNPR3,BRL,MGEL4
266,brazil,MAGAZ LUIZA ON,Magazine Luiza SA,BRMGLUACNOR2,BRL,MGLU3
267,brazil,MILLS ON,MILLS ON EJ NM,BRMILSACNOR2,BRL,MILS3
268,brazil,MMX MINER ON,MMX Mineracao e Metalicos SA,BRMMXMACNOR2,BRL,MMXM3
269,brazil,ENEVA ON NM,Eneva SA,BRENEVACNOR8,BRL,ENEV3
270,brazil,MARFRIG ON,Marfrig Alimentos SA,BRMRFGACNOR0,BRL,MRFG3
271,brazil,MRV ON,MRV Engenharia e Participacoes SA,BRMRVEACNOR2,BRL,MRVE3
272,brazil,METAL IGUACU PN,Metalgrafica Iguacu SA,BRMTIGACNPR7,BRL,MTIG4
273,brazil,MULTIPLAN ON,Multiplan SA,BRMULTACNOR5,BRL,MULT3
274,brazil,IOCHP-MAXION ON,Iochpe-Maxion SA,BRMYPKACNOR7,BRL,MYPK3
275,brazil,NATURA ON,Natura Cosmeticos SA,BRNATUACNOR6,BRL,NATU3
276,brazil,ODONTOPREV ON,Odontoprev SA,BRODPVACNOR4,BRL,ODPV3
277,brazil,OSX BRASIL ON,OSX Brasil SA,BROSXBACNOR8,BRL,OSXB3
278,brazil,P.ACUCAR-CBD PN,Companhia Brasileira deDistribuicao,BRPCARACNPR0,BRL,PCAR4
279,brazil,PDG REALT ON,PDG Realty SA,BRPDGRACNOR8,BRL,PDGR3
280,brazil,PETROBRAS ON,Petroleo Brasileiro SA,BRPETRACNOR9,BRL,PETR3
281,brazil,PETROBRAS PN,Petroleo Brasileiro SA PN,BRPETRACNPR6,BRL,PETR4
282,brazil,PROFARMA ON,PROFARMA ON NM,BRPFRMACNOR1,BRL,PFRM3
283,brazil,PINE PN,Banco Pine SA,BRPINEACNPR8,BRL,PINE4
284,brazil,PLASCAR PART ON,Plascar Participacoes Industriais,BRPLASACNOR2,BRL,PLAS3
285,brazil,PARANAPANEMA ON,Paranapanema SA,BRPMAMACNOR3,BRL,PMAM3
286,brazil,MARCOPOLO ON,Marcopolo SA,BRPOMOACNOR0,BRL,POMO3
287,brazil,MARCOPOLO PN,Marcopolo SA,BRPOMOACNPR7,BRL,POMO4
288,brazil,POSITIVO INF ON,Positivo Informatica SA,BRPOSIACNOR9,BRL,POSI3
289,brazil,PORTO SEGURO ON,Porto Seguro SA,BRPSSAACNOR7,BRL,PSSA3
290,brazil,PORTOBELLO ON,Portobello SA,BRPTBLACNOR8,BRL,PTBL3
291,brazil,PETTENATI PN,Pettenati SA Industria Textil,BRPTNTACNPR3,BRL,PTNT4
292,brazil,Enauta ON,Enauta Participacoes SA,BRENATACNOR0,BRL,ENAT3
293,brazil,QUALICORP ON,Qualicorp SA,BRQUALACNOR6,BRL,QUAL3
294,brazil,RANDON PART ON,Randon Participacoes SA,BRRAPTACNOR7,BRL,RAPT3
295,brazil,RANDON PART PN,Randon Participacoes SA,BRRAPTACNPR4,BRL,RAPT4
